"","x"
"540","Pinniped2_ResN"
"541","Pinniped3_ResN"
"542","Pinniped4_ResN"
"543","Pinniped5_ResN"
"544","Pinniped6_ResN"
"545","Pinniped7_ResN"
"546","Pinniped8_ResN"
"547","Pinniped9_ResN"
"548","Pinniped10_ResN"
"549","Whale_Baleen1_ResN"
"550","Whale_Baleen2_ResN"
"551","Whale_Baleen3_ResN"
"552","Whale_Baleen4_ResN"
"553","Whale_Baleen5_ResN"
"554","Whale_Baleen6_ResN"
"555","Whale_Baleen7_ResN"
"556","Whale_Baleen8_ResN"
"557","Whale_Baleen9_ResN"
"558","Whale_Baleen10_ResN"
"559","Whale_Tooth1_ResN"
"560","Whale_Tooth2_ResN"
"561","Whale_Tooth3_ResN"
"562","Whale_Tooth4_ResN"
"563","Whale_Tooth5_ResN"
"564","Whale_Tooth6_ResN"
"565","Whale_Tooth7_ResN"
"566","Whale_Tooth8_ResN"
"567","Whale_Tooth9_ResN"
"568","Whale_Tooth10_ResN"
"569","Planktiv_S_Fish1_Nums"
"570","Planktiv_S_Fish2_Nums"
"571","Planktiv_S_Fish3_Nums"
"572","Planktiv_S_Fish4_Nums"
"573","Planktiv_S_Fish5_Nums"
"574","Planktiv_S_Fish6_Nums"
"575","Planktiv_S_Fish7_Nums"
"576","Planktiv_S_Fish8_Nums"
"577","Planktiv_S_Fish9_Nums"
"578","Planktiv_S_Fish10_Nums"
"579","Planktiv_L_Fish1_Nums"
"580","Planktiv_L_Fish2_Nums"
"581","Planktiv_L_Fish3_Nums"
"582","Planktiv_L_Fish4_Nums"
"583","Planktiv_L_Fish5_Nums"
"584","Planktiv_L_Fish6_Nums"
"585","Planktiv_L_Fish7_Nums"
"586","Planktiv_L_Fish8_Nums"
"587","Planktiv_L_Fish9_Nums"
"588","Planktiv_L_Fish10_Nums"
"589","Pisciv_S_Fish1_Nums"
"590","Pisciv_S_Fish2_Nums"
"591","Pisciv_S_Fish3_Nums"
"592","Pisciv_S_Fish4_Nums"
"593","Pisciv_S_Fish5_Nums"
"594","Pisciv_S_Fish6_Nums"
"595","Pisciv_S_Fish7_Nums"
"596","Pisciv_S_Fish8_Nums"
"597","Pisciv_S_Fish9_Nums"
"598","Pisciv_S_Fish10_Nums"
"599","Pisciv_D_Fish1_Nums"
"600","Pisciv_D_Fish2_Nums"
"601","Pisciv_D_Fish3_Nums"
"602","Pisciv_D_Fish4_Nums"
"603","Pisciv_D_Fish5_Nums"
"604","Pisciv_D_Fish6_Nums"
"605","Pisciv_D_Fish7_Nums"
"606","Pisciv_D_Fish8_Nums"
"607","Pisciv_D_Fish9_Nums"
"608","Pisciv_D_Fish10_Nums"
"609","Pisciv_T_Fish1_Nums"
"610","Pisciv_T_Fish2_Nums"
"611","Pisciv_T_Fish3_Nums"
"612","Pisciv_T_Fish4_Nums"
"613","Pisciv_T_Fish5_Nums"
"614","Pisciv_T_Fish6_Nums"
"615","Pisciv_T_Fish7_Nums"
"616","Pisciv_T_Fish8_Nums"
"617","Pisciv_T_Fish9_Nums"
"618","Pisciv_T_Fish10_Nums"
"619","Pisciv_B_Fish1_Nums"
"620","Pisciv_B_Fish2_Nums"
"621","Pisciv_B_Fish3_Nums"
"622","Pisciv_B_Fish4_Nums"
"623","Pisciv_B_Fish5_Nums"
"624","Pisciv_B_Fish6_Nums"
"625","Pisciv_B_Fish7_Nums"
"626","Pisciv_B_Fish8_Nums"
